Order,Astronaut,Type,Date,Spacecraft
,George Zamka,Orbital,23 October 2007,STS-120
468,Stanley Love,Orbital,7 February 2008,STS-122
,Leland Melvin,Orbital,7 February 2008,STS-122
,Alan Poindexter,Orbital,7 February 2008,STS-122
471,Robert Behnken,Orbital,11 March 2008,STS-123
,Michael Foreman,Orbital,11 March 2008,STS-123
,Gregory H. Johnson,Orbital,11 March 2008,STS-123
,Garrett Reisman,Orbital,11 March 2008,STS-123
475,Oleg D. Kononenko,Orbital,8 April 2008,Soyuz TMA-12
,Sergey Volkov,Orbital,8 April 2008,Soyuz TMA-12
,Yi So-yeon,Orbital,8 April 2008,Soyuz TMA-12
478,Gregory Chamitoff,Orbital,31 May 2008,STS-124
,Robert Garan,Orbital,31 May 2008,STS-124
,Kenneth Ham,Orbital,31 May 2008,STS-124
,Akihiko Hoshide,Orbital,31 May 2008,STS-124
,Karen Nyberg,Orbital,31 May 2008,STS-124
