payload_id,name,type,reused,manufacturers,mass_kg,mass_lb,orbit,reference_system,regime
5eb0e4b5b6c3bb0006eeb1e1,FalconSAT-2,Satellite,False,['SSTL'],20.0,43.0,LEO,geocentric,low-earth
5eb0e4b6b6c3bb0006eeb1e2,DemoSAT,Satellite,False,['SpaceX'],,,LEO,geocentric,low-earth
5eb0e4b6b6c3bb0006eeb1e3,Trailblazer,Satellite,False,['Space Dev'],,,LEO,geocentric,low-earth
5eb0e4b6b6c3bb0006eeb1e4,PRESat,Satellite,False,[],,,LEO,geocentric,low-earth
5eb0e4b7b6c3bb0006eeb1e5,RatSat,Satellite,False,['SpaceX'],165.0,363.0,LEO,geocentric,low-earth
5eb0e4b7b6c3bb0006eeb1e6,RazakSAT,Satellite,False,['Satrec'],200.0,440.0,LEO,geocentric,low-earth
5eb0e4b7b6c3bb0006eeb1e7,Dragon Qualification Unit,Dragon Boilerplate,False,['SpaceX'],,,LEO,geocentric,low-earth
5eb0e4b9b6c3bb0006eeb1e8,COTS Demo Flight 1,Dragon 1.0,False,['SpaceX'],,,LEO,geocentric,low-earth
5eb0e4b9b6c3bb0006eeb1e9,Cubesats,Satellite,False,[],,,LEO,geocentric,low-earth
5eb0e4bab6c3bb0006eeb1ea,COTS Demo Flight 2,Dragon 1.0,False,['SpaceX'],525.0,1157.0,LEO,geocentric,low-earth
5eb0e4bab6c3bb0006eeb1eb,CRS-1,Dragon 1.0,False,['SpaceX'],400.0,881.0,ISS,geocentric,low-earth
5eb0e4bab6c3bb0006eeb1ec,Orbcomm-OG2,Dragon 1.0,False,[],400.0,881.0,LEO,geocentric,low-earth
5eb0e4bbb6c3bb0006eeb1ed,CRS-2,Dragon 1.0,False,['SpaceX'],677.0,1492.0,ISS,geocentric,low-earth
5eb0e4bbb6c3bb0006eeb1ee,CASSIOPE,Satellite,False,['MDA'],500.0,1100.0,PO,geocentric,low-earth
5eb0e4bbb6c3bb0006eeb1ef,SES-8,Satellite,False,['Orbital ATK'],3170.0,6990.0,GTO,geocentric,geostationary
5eb0e4bbb6c3bb0006eeb1f0,Thaicom 6,Satellite,False,['Orbital ATK'],3325.0,7330.0,GTO,geocentric,geostationary
5eb0e4bbb6c3bb0006eeb1f1,CRS-3,Dragon 1.1,False,['SpaceX'],2296.0,5062.0,ISS,geocentric,low-earth
5eb0e4bcb6c3bb0006eeb1f2,Orbcomm-OG2-M1,Satellite,False,['Boeing'],1316.0,2901.0,LEO,geocentric,low-earth
