Date,Open,High,Low,Close,Adj Close,Volume
2003-02-21,45.299999,45.750000,44.849998,45.570000,28.014513,5238100
2003-02-24,45.000000,45.250000,44.340000,44.549999,27.387472,3543100
2003-02-25,44.599998,45.730000,44.599998,45.410000,27.916164,5547600
2003-02-26,45.799999,46.060001,45.070000,45.900002,28.217379,5106700
2003-02-27,45.990002,46.250000,45.099998,45.810001,28.229712,2429100
2003-02-28,45.549999,46.139999,45.299999,45.720001,28.174244,2651300
2003-03-03,46.389999,46.619999,45.700001,45.779999,28.211229,2123500
2003-03-04,45.790001,46.450001,44.910000,46.080002,28.396105,2535100
2003-03-05,44.209999,45.900002,42.560001,45.080002,27.779865,4945000
2003-03-06,45.090000,45.200001,44.090000,44.570000,27.465570,5266300
2003-03-07,44.570000,44.570000,43.000000,43.560001,26.843182,5048900
2003-03-10,43.570000,43.599998,42.200001,42.320000,26.079056,4096200
2003-03-11,42.500000,42.680000,41.060001,41.130001,25.345732,4050600
2003-03-12,41.310001,42.099998,40.639999,41.500000,25.573736,5141100
2003-03-13,42.349998,43.259998,41.869999,43.209999,26.627499,3707200
2003-03-14,44.320000,45.990002,44.160000,45.189999,27.847641,4111600
2003-03-17,45.799999,47.240002,45.509998,46.950001,28.932217,4840100
2003-03-18,47.099998,48.000000,47.000000,47.320000,29.160229,3544900
2003-03-19,48.000000,48.970001,47.650002,48.299999,29.764114,3375300
2003-03-20,48.630001,48.740002,46.639999,46.849998,28.870590,3690500
2003-03-21,46.849998,47.070000,43.560001,45.410000,27.983212,8377900
2003-03-24,45.410000,46.810001,45.410000,46.410000,28.599445,3100300
2003-03-25,46.220001,46.439999,45.020000,45.959999,28.322145,2809500
2003-03-26,46.299999,47.049999,45.750000,46.250000,28.500849,2480400
2003-03-27,46.150002,47.470001,45.910000,47.250000,29.117098,2968700
2003-03-28,47.299999,48.250000,47.029999,48.139999,29.665533,3308700
2003-03-31,47.750000,47.990002,47.000000,47.549999,29.301960,2786200
2003-04-01,47.450001,48.180000,47.400002,47.650002,29.363581,2806700
2003-04-02,47.660000,47.939999,46.500000,47.660000,29.369749,2942300
2003-04-03,47.799999,48.119999,47.450001,47.880001,29.505316,2334700
2003-04-04,47.880001,47.930000,46.049999,46.599998,28.716537,2849600
2003-04-07,46.459999,46.459999,45.310001,45.549999,28.069483,3782200
2003-04-08,45.119999,45.480000,44.980000,45.090000,27.786026,2423300
2003-04-09,45.090000,46.209999,44.770000,45.349998,27.946253,2037300
2003-04-10,45.360001,45.360001,44.299999,44.750000,27.576500,2576900
2003-04-11,44.630001,44.730000,43.700001,44.110001,27.182114,2279700
2003-04-14,43.799999,44.650002,43.320000,44.500000,27.422434,2917700
2003-04-15,44.630001,44.630001,43.650002,44.490002,27.416279,2111400
2003-04-16,44.740002,44.959999,44.099998,44.349998,27.330004,2825100
2003-04-17,44.349998,45.549999,44.349998,45.360001,27.952402,2073400
2003-04-21,45.400002,45.950001,45.000000,45.250000,27.884617,2150700
2003-04-22,46.000000,48.680000,46.000000,48.549999,29.918200,5867400
2003-04-23,48.549999,49.070000,48.040001,48.619999,29.961327,3729900
2003-04-24,48.610001,49.650002,48.240002,49.150002,30.287947,2303800
2003-04-25,49.700001,49.910000,49.299999,49.410000,30.448153,2553800
2003-04-28,49.500000,50.689999,49.020000,50.480000,31.107515,2676800
2003-04-29,50.700001,51.660000,49.549999,50.250000,30.965794,2858400
2003-04-30,50.240002,50.610001,49.419998,50.049999,30.842533,2505100
2003-05-01,49.500000,49.950001,48.610001,48.900002,30.133869,2236000
2003-05-02,48.910000,50.320000,48.910000,50.220001,30.947304,2273600
2003-05-05,50.090000,50.189999,48.900002,49.500000,30.503616,2187900
2003-05-06,49.509998,50.139999,49.139999,49.810001,30.694653,2152300
2003-05-07,49.400002,50.000000,48.950001,49.160000,30.294102,2367100
2003-05-08,49.080002,49.430000,48.380001,48.549999,29.918200,1633500
2003-05-09,48.509998,48.840000,48.290001,48.840000,30.096895,1738800
2003-05-12,48.750000,49.090000,48.540001,48.919998,30.146202,1640500
2003-05-13,49.000000,50.000000,48.750000,49.540001,30.528259,1574900
2003-05-14,49.540001,49.730000,49.130001,49.570000,30.546749,1018100
2003-05-15,49.490002,49.770000,49.099998,49.400002,30.441977,1674900
2003-05-16,49.000000,49.389999,48.610001,49.000000,30.195499,1774200
2003-05-19,48.849998,48.849998,47.599998,47.669998,29.375902,1564300
2003-05-20,47.939999,48.040001,46.750000,47.369999,29.191036,2063300
2003-05-21,47.299999,47.369999,46.700001,47.369999,29.191036,1763900
2003-05-22,47.250000,48.000000,47.060001,47.709999,29.400557,1489700
2003-05-23,47.750000,48.169998,47.119999,47.930000,29.536123,1648200
2003-05-27,47.849998,48.810001,47.450001,48.410000,29.831917,1605200
2003-05-28,48.200001,48.250000,46.790001,47.099998,29.024651,2510400
2003-05-29,47.099998,47.240002,46.119999,46.560001,28.765173,3288100
2003-05-30,46.520000,47.700001,45.930000,46.419998,28.678679,3504100
2003-06-02,46.619999,47.490002,46.340000,46.730000,28.870201,1869900
2003-06-03,46.599998,46.830002,45.930000,46.000000,28.419184,2265100
2003-06-04,46.000000,46.169998,45.299999,45.799999,28.295641,2878300
2003-06-05,45.200001,46.810001,45.000000,45.450001,28.079411,3219800
2003-06-06,45.849998,47.180000,45.810001,46.410000,28.672497,3619600
2003-06-09,46.419998,47.250000,46.150002,46.500000,28.728100,1947100
2003-06-10,46.500000,47.119999,45.590000,46.500000,28.728100,2515100
2003-06-11,46.689999,48.150002,46.560001,48.090000,29.710415,2379300
2003-06-12,48.169998,48.799999,47.880001,48.419998,29.914303,2444300
2003-06-13,48.799999,48.990002,47.599998,47.900002,29.593039,1316900
2003-06-16,47.900002,48.950001,47.849998,48.730000,30.105818,1195400
2003-06-17,48.950001,49.250000,48.500000,49.070000,30.315884,2542000
2003-06-18,49.080002,49.889999,48.869999,49.650002,30.674208,2677400
2003-06-19,49.880001,49.939999,49.009998,49.160000,30.371481,1825700
2003-06-20,49.160000,49.250000,48.599998,48.630001,30.044033,2950600
2003-06-23,48.849998,48.990002,47.439999,48.209999,29.784548,1966700
2003-06-24,47.830002,49.029999,47.830002,48.459999,29.939001,1742600
2003-06-25,49.099998,49.240002,47.950001,48.119999,29.728949,1201000
2003-06-26,48.259998,48.619999,47.720001,47.849998,29.562143,1570000
2003-06-27,47.849998,47.930000,47.259998,47.520000,29.358276,1745200
2003-06-30,47.730000,48.220001,47.570000,47.570000,29.389166,1602200
2003-07-01,47.799999,48.580002,47.470001,48.450001,29.932840,1466800
2003-07-02,48.369999,48.810001,47.900002,48.810001,30.155237,1435000
2003-07-03,48.270000,48.639999,48.169998,48.400002,29.901945,837500
2003-07-07,48.700001,48.950001,47.570000,48.080002,29.704250,2124300
